Suburb,Council,Post Code,District,Latitude,Longitude,State
Blampied,Hepburn Shire,3364,Central District,-37.3167,144.1333,Victoria
Blind Bight,Casey City,3980,Central District,-38.0952,145.3228,Victoria
Blowhard,Ballarat City,3352,Central District,-37.5662,143.8496,Victoria
Bo Peep,Pyrenees Shire,3351,South West District,-37.3276,143.3647,Victoria
Bo Peep,Ballarat City,3351,Central District,-37.5662,143.8496,Victoria
Bobinawarrah,Wangaratta Rural City,3678,North East District,-36.3667,146.3333,Victoria
Bochara,Southern Grampians Shire,3301,South West District,-37.5299,142.0253,Victoria
Bogong,Alpine Shire,3699,North East District,-36.8341,146.9794,Victoria
Boho,Strathbogie Shire,3669,Northern Country District,-36.85,145.75,Victoria
Boho South,Strathbogie Shire,3669,Northern Country District,-36.85,145.75,Victoria
Boigbeat,Buloke Shire,3531,Mallee District,-35.8464,143.05200000000002,Victoria
Boinka,Mildura Rural City,3490,Mallee District,-34.2,142.15,Victoria
Boisdale,Wellington Shire,3860,West & South Gippsland District,-35.35,139.3833,Victoria
Bolangum,Northern Grampians Shire,3387,Wimmera District,-36.8496,142.873,Victoria
Bolinda,Macedon Ranges Shire,3432,Central District,-37.3334,144.6158,Victoria
Bolton,Swan Hill Rural City,3546,Mallee District,-35.3378,143.5544,Victoria
Bolwarra,Glenelg Shire,3305,South West District,-37.8908,141.4424,Victoria
Bolwarrah,Moorabool Shire,3352,Central District,-38.0833,144.3,Victoria
Bona Vista,Baw Baw Shire,3820,West & South Gippsland District,-37.97,146.144,Victoria
Bonang,East Gippsland Shire,3888,East Gippsland District,-37.3456,148.5829,Victoria
Bonbeach,Kingston City,3196,Central District,-38.0045,145.0953,Victoria
Bonegilla,Wodonga City,3691,North East District,-36.1167,146.8833,Victoria
Boneo,Mornington Peninsula Shire,3939,Central District,-38.3327,144.9566,Victoria
Bonn,Campaspe Shire,3561,Northern Country District,-36.3234,144.7084,Victoria
Bonnie Brook,Melton City,3335,Central District,-37.6833,144.5833,Victoria
Bonnie Doon,Mansfield Shire,3720,North East District,-37.05,146.0833,Victoria
Bonshaw,Ballarat City,3352,Central District,-37.5662,143.8496,Victoria
Bookaar,Corangamite Shire,3260,South West District,-38.216,143.2354,Victoria
Boolarong,South Gippsland Shire,3960,West & South Gippsland District,-38.699,146.067,Victoria
Boolarra,Latrobe City,3870,West & South Gippsland District,-38.2538,146.4612,Victoria
Boolarra South,Latrobe City,3870,West & South Gippsland District,-38.2538,146.4612,Victoria
Boole Poole,East Gippsland Shire,3880,East Gippsland District,-37.3456,148.5829,Victoria
Boolite,Yarriambiack Shire (South Of Netting Fence),3392,Wimmera District,-36.0262,142.4045,Victoria
Boomahnoomoonah,Moira Shire,3728,Northern Country District,-36.0506,145.5381,Victoria
Boonah,Surf Coast Shire,3235,Central District,-38.34,144.1153,Victoria
Boorcan,Corangamite Shire,3265,South West District,-38.216,143.2354,Victoria
Boorhaman,Wangaratta Rural City,3678,North East District,-36.3667,146.3333,Victoria
Boorhaman East,Wangaratta Rural City,3678,North East District,-36.3667,146.3333,Victoria
Boorhaman North,Wangaratta Rural City,3685,North East District,-36.3667,146.3333,Victoria
Boorolite,Mansfield Shire,3723,North East District,-37.05,146.0833,Victoria
Boorool,South Gippsland Shire,3953,West & South Gippsland District,-38.699,146.067,Victoria
Boort,Loddon Shire,3537,Northern Country District,-36.4041,143.8296,Victoria
Boosey,Moira Shire,3730,Northern Country District,-36.0506,145.5381,Victoria
Boralma,Wangaratta Rural City,3682,North East District,-36.3667,146.3333,Victoria
Bornes Hill,Ararat Rural City,3379,South West District,-37.2833,142.9333,Victoria
Boronia,Knox City,3155,Central District,-37.8989,145.2692,Victoria
Borung,Loddon Shire,3518,Northern Country District,-36.4041,143.8296,Victoria
Bostocks Creek,Corangamite Shire,3260,South West District,-38.216,143.2354,Victoria
Botanic Ridge,Casey City,3977,Central District,-38.0952,145.3228,Victoria
Boundary Bend,Swan Hill Rural City,3599,Mallee District,-35.3378,143.5544,Victoria
Bowenvale,Central Goldfields Shire,3465,North Central District,-36.9789,143.7386,Victoria
Boweya,Benalla Rural City,3675,North East District,-36.5904,146.0281,Victoria
Boweya,Wangaratta Rural City,3675,North East District,-36.3667,146.3333,Victoria
Boweya North,Moira Shire,3675,Northern Country District,-36.0506,145.5381,Victoria
Bowmans Forest,Wangaratta Rural City,3735,North East District,-36.3667,146.3333,Victoria
Bowser,Wangaratta Rural City,3678,North East District,-36.3667,146.3333,Victoria
Box Hill,Whitehorse City,3128,Central District,-37.8287,145.1543,Victoria
Box Hill North,Whitehorse City,3129,Central District,-37.8287,145.1543,Victoria
Box Hill South,Whitehorse City,3128,Central District,-37.8287,145.1543,Victoria
Boxwood,Benalla Rural City,3725,North East District,-36.5904,146.0281,Victoria
Boxwood,Greater Shepparton City,3725,Northern Country District,-36.4274,145.4152,Victoria
Bradford,Mount Alexander Shire,3463,North Central District,-37.0761,144.1882,Victoria
Bradvale,Corangamite Shire,3361,South West District,-38.216,143.2354,Victoria
Braeside,Kingston City,3195,Central District,-38.0045,145.0953,Victoria
Brandy Creek,Baw Baw Shire,3821,West & South Gippsland District,-37.97,146.144,Victoria
Branxholme,Southern Grampians Shire,3302,South West District,-37.5299,142.0253,Victoria
Branxholme,Glenelg Shire,3302,South West District,-37.8908,141.4424,Victoria
Bravington,Baw Baw Shire,3821,West & South Gippsland District,-37.97,146.144,Victoria
Braybrook,Maribyrnong City,3019,Central District,-37.7833,144.8833,Victoria
