Council,Suburb,Post Code
11,Freshwater Creek,3217
62,Fryerstown,3451
12,Fulham,3851
4,Fumina,3825
4,Fumina South,3825
38,Fyans Creek,3381
26,Fyansford,3218
27,Gaffneys Creek,3723
4,Gainsborough,3822
31,Gannawarra,3568
1,Gapsted,3737
69,Gardenvale,3185
52,Garfield,3814
52,Garfield North,3814
25,Garibaldi,3352
16,Garvoc,3265
53,Garvoc,3265
60,Gateway Island,3691
58,Gatum,3407
16,Gazette,3289
58,Gazette,3289
26,Geelong,3220
26,Geelong West,3218
28,Gelantipy,3885
23,Gellibrand,3239
53,Gellibrand Lower,3237
12,Gelliondale,3971
52,Gembrook,3783
28,Genoa,3891
67,Georges Creek,3700
29,Gerahmin,3546
30,Gerang Gerung,3418
23,Gerangamete,3249
38,Germania,3387
1,Germantown,3741
16,Gerrigerrup,3289
11,Gherang,3240
25,Gheringhap,3331
5,Ghin Ghin,3717
12,Giffard,3851
12,Giffard West,3851
56,Gil Gil,3480
55,Gilderoy,3797
36,Gillieston,3616
28,Gipsy Point,3891
57,Girgarre,3624
36,Girgarre East,3616
46,Gisborne,3437
46,Gisborne South,3437
32,Gladfield,3575
50,Gladstone Park,3043
55,Gladysdale,3797
6,Glen Alvie,3979
1,Glen Creek,3691
6,Glen Forbes,3990
69,Glen Huntly,3163
47,Glen Iris,3146
43,Glen Iris,3146
54,Glen Park,3352
7,Glen Park,3352
28,Glen Valley,3898
48,Glen Waverley,3150
23,Glenaire,3238
28,Glenaladale,3864
32,Glenalbyn,3517
51,Glenaroua,3764
24,Glenbrae,3352
5,Glenburn,3717
7,Glendaruel,3363
7,Glendonald,3364
53,Glenfyne,3266
12,Glengarry,3854
73,Glengarry,3854
73,Glengarry North,3854
73,Glengarry West,3854
18,Glengower,3370
8,Glengower,3370
51,Glenhope,3444
51,Glenhope East,3522
58,Glenisla,3314
30,Glenlee,3418
24,Glenlofty,3469
35,Glenlogie,3469
24,Glenlogie,3469
56,Glenloth,3527
56,Glenloth East,3527
62,Glenluce,3451
18,Glenlyon,3461
12,Glenmaggie,3858
54,Glenmore,3340
38,Glenorchy,3385
53,Glenormiston North,3265
16,Glenormiston North,3265
53,Glenormiston South,3265
24,Glenpatrick,3469
40,Glenrowan,3675
39,Glenrowan,3675
40,Glenrowan West,3675
75,Glenroy,3046
35,Glenthompson,3293
58,Glenthompson,3293
12,Glomar Beach,3851
11,Gnarwarre,3221
53,Gnotuk,3260
57,Gobarup,3559
5,Gobur,3719
12,Golden Beach,3851
42,Golden Gully,3555
7,Golden Point,3350
62,Golden Point,3451
8,Golden Point,3465
42,Golden Square,3555
46,Goldie,3435
8,Goldsborough,3472
32,Goldsborough,3472
7,Gong Gong,3352
31,Gonn Crossing,3579
40,Goomalibee,3673
28,Goon Nure,3875
28,Goongerah,3888
37,Gooram,3666
15,Gooramadda,3685
40,Goorambat,3725
42,Goornong,3557
38,Gooroc,3477
19,Gorae,3305
19,Gorae West,3305
54,Gordon,3345
12,Gormandale,3873
33,Goroke,3412
29,Goschen,3585
27,Goughs Bay,3723
36,Goulburn Weir,3608
37,Goulburn Weir,3608
75,Gowanbrae,3043
29,Gowanford,3544
36,Gowangardie,3669
38,Gowar East,3477
32,Gowar East,3477
62,Gower,3463
36,Grahamvale,3631
73,Grand Ridge,3870
12,Grand Ridge,3870
10,Grangefields,3335
28,Granite Rock,3875
6,Grantville,3984
67,Granya,3701
34,Grass Flat,3409
33,Grass Flat,3409
19,Grassdale,3302
16,Grassmere,3281
37,Graytown,3608
38,Gre Gre,3477
38,Gre Gre North,3477
38,Gre Gre South,3477
38,Great Western,3374
35,Great Western,3374
31,Gredgwin,3537
32,Gredgwin,3537
62,Green Gully,3462
54,Greendale,3341
62,Greenhill,3444
46,Greenhill,3444
38,Greens Creek,3387
68,Greensborough,3088
44,Greensborough,3088
50,Greenvale,3059
19,Greenwald,3304
25,Grenville,3352
54,Grenville,3352
39,Greta,3675
39,Greta South,3675
39,Greta West,3675
23,Grey River,3234
58,Gringegalgona,3315
58,Gritjurk,3315
26,Grovedale,3216
55,Gruyere,3770
62,Guildford,3451
18,Guildford,3451
57,Gunbower,3566
1,Gundowring,3691
15,Gundowring,3691
67,Guys Forest,3709
52,Guys Hill,3807
33,Gymbowen,3401
25,Haddon,3351
75,Hadfield,3046
